user,login_count,off_hour_logins,weekend_logins,unique_pcs_logon,off_hour_ratio,weekend_ratio,device_connections,unique_pcs_device,raw_anomaly_score,risk_score,is_anomaly,risk_level,risk_explanation,is_simulated,persona_description
Dtaa/Nhl0521,671,168,2,29,0.2504,0.003,71,1,0.06447,53.02,0,Medium,Excessive logins (671 total) | High off-hours activity (168 logins outside 8AM–6PM) | Logged into multiple PCs (29 distinct machines) | Excessive device connections (71 total),0,
Dtaa/Mrl0518,32,29,0,4,0.9062,0.0,0,0,0.066516,52.5,0,Medium,High off-hours activity (29 logins outside 8AM–6PM) | Logged into multiple PCs (4 distinct machines),0,
Dtaa/Mev0886,661,361,2,18,0.5461,0.003,5,1,0.068883,51.9,0,Medium,Excessive logins (661 total) | High off-hours activity (361 logins outside 8AM–6PM) | Logged into multiple PCs (18 distinct machines),0,
Dtaa/Lky0181,202,13,0,1,0.0644,0.0,5,1,0.069208,51.82,0,Medium,Excessive logins (202 total),0,
Dtaa/Cjw0317,729,361,0,70,0.4952,0.0,272,1,0.070031,51.61,0,Medium,Excessive logins (729 total) | High off-hours activity (361 logins outside 8AM–6PM) | Logged into multiple PCs (70 distinct machines) | Excessive device connections (272 total),0,
Dtaa/Tua0298,715,353,1,53,0.4937,0.0014,0,0,0.070393,51.52,0,Medium,Excessive logins (715 total) | High off-hours activity (353 logins outside 8AM–6PM) | Logged into multiple PCs (53 distinct machines),0,
Dtaa/Pmb0702,674,23,1,19,0.0341,0.0015,49,1,0.072935,50.88,0,Medium,Excessive logins (674 total) | High off-hours activity (23 logins outside 8AM–6PM) | Logged into multiple PCs (19 distinct machines) | Excessive device connections (49 total),0,
Dtaa/Cgm0343,764,352,0,89,0.4607,0.0,134,1,0.073766,50.67,0,Medium,Excessive logins (764 total) | High off-hours activity (352 logins outside 8AM–6PM) | Logged into multiple PCs (89 distinct machines) | Excessive device connections (134 total),0,
Dtaa/Ndm0893,676,372,1,22,0.5503,0.0015,18,1,0.07515,50.32,0,Medium,Excessive logins (676 total) | High off-hours activity (372 logins outside 8AM–6PM) | Logged into multiple PCs (22 distinct machines),0,
Dtaa/Aqg0678,212,59,0,11,0.2783,0.0,112,1,0.075439,50.25,0,Medium,Excessive logins (212 total) | High off-hours activity (59 logins outside 8AM–6PM) | Logged into multiple PCs (11 distinct machines) | Excessive device connections (112 total),0,
Dtaa/Qkr0651,415,14,0,48,0.0337,0.0,243,1,0.075757,50.17,0,Medium,Excessive logins (415 total) | Logged into multiple PCs (48 distinct machines) | Excessive device connections (243 total),0,
Dtaa/Ajb0016,709,13,0,56,0.0183,0.0,310,1,0.076427,50.0,0,Medium,Excessive logins (709 total) | Logged into multiple PCs (56 distinct machines) | Excessive device connections (310 total),0,
Dtaa/Hdr0823,751,0,0,70,0.0,0.0,140,1,0.076435,50.0,0,Medium,Excessive logins (751 total) | Logged into multiple PCs (70 distinct machines) | Excessive device connections (140 total),0,
Dtaa/Ugw0223,44,44,0,1,1.0,0.0,0,0,0.077829,49.64,0,Medium,High off-hours activity (44 logins outside 8AM–6PM),0,
Dtaa/Rvs0852,746,195,0,76,0.2614,0.0,211,1,0.081299,48.77,0,Medium,Excessive logins (746 total) | High off-hours activity (195 logins outside 8AM–6PM) | Logged into multiple PCs (76 distinct machines) | Excessive device connections (211 total),0,
Dtaa/Hcr0795,345,345,0,1,1.0,0.0,38,1,0.081699,48.66,0,Medium,Excessive logins (345 total) | High off-hours activity (345 logins outside 8AM–6PM) | Excessive device connections (38 total),0,
Dtaa/Ajc0266,701,0,0,55,0.0,0.0,310,1,0.083283,48.26,0,Medium,Excessive logins (701 total) | Logged into multiple PCs (55 distinct machines) | Excessive device connections (310 total),0,
Dtaa/Tjp0714,652,10,1,19,0.0153,0.0015,0,0,0.084674,47.91,0,Medium,Excessive logins (652 total) | Logged into multiple PCs (19 distinct machines),0,
Dtaa/Rme0699,698,167,0,70,0.2393,0.0,274,1,0.087551,47.19,0,Medium,Excessive logins (698 total) | High off-hours activity (167 logins outside 8AM–6PM) | Logged into multiple PCs (70 distinct machines) | Excessive device connections (274 total),0,
Dtaa/Wdw0485,682,0,0,50,0.0,0.0,312,1,0.088578,46.93,0,Medium,Excessive logins (682 total) | Logged into multiple PCs (50 distinct machines) | Excessive device connections (312 total),0,
Dtaa/Sae0683,88,88,0,1,1.0,0.0,0,0,0.089784,46.62,0,Medium,Excessive logins (88 total) | High off-hours activity (88 logins outside 8AM–6PM),0,
Dtaa/Slc0778,619,345,0,1,0.5574,0.0,345,1,0.089877,46.6,0,Medium,Excessive logins (619 total) | High off-hours activity (345 logins outside 8AM–6PM) | Excessive device connections (345 total),0,
Dtaa/Nnb0443,624,345,0,1,0.5529,0.0,345,1,0.090127,46.53,0,Medium,Excessive logins (624 total) | High off-hours activity (345 logins outside 8AM–6PM) | Excessive device connections (345 total),0,
Dtaa/Ijj0342,83,83,0,1,1.0,0.0,0,0,0.090142,46.53,0,Medium,Excessive logins (83 total) | High off-hours activity (83 logins outside 8AM–6PM),0,
Dtaa/Rqh0770,646,366,1,1,0.5666,0.0015,66,1,0.090665,46.4,0,Medium,Excessive logins (646 total) | High off-hours activity (366 logins outside 8AM–6PM) | Excessive device connections (66 total),0,
Dtaa/Xqw0354,716,0,0,69,0.0,0.0,180,1,0.09077,46.37,0,Medium,Excessive logins (716 total) | Logged into multiple PCs (69 distinct machines) | Excessive device connections (180 total),0,
Dtaa/Ycb0005,625,345,0,1,0.552,0.0,345,1,0.090842,46.35,0,Medium,Excessive logins (625 total) | High off-hours activity (345 logins outside 8AM–6PM) | Excessive device connections (345 total),0,
Dtaa/Hnf0812,178,0,0,21,0.0,0.0,88,1,0.091043,46.3,0,Medium,Excessive logins (178 total) | Logged into multiple PCs (21 distinct machines) | Excessive device connections (88 total),0,
Dtaa/Kkw0676,626,0,0,1,0.0,0.0,308,1,0.09111,46.29,0,Medium,Excessive logins (626 total) | Excessive device connections (308 total),0,
Dtaa/Fdp0500,716,346,0,74,0.4832,0.0,245,1,0.091929,46.08,0,Medium,Excessive logins (716 total) | High off-hours activity (346 logins outside 8AM–6PM) | Logged into multiple PCs (74 distinct machines) | Excessive device connections (245 total),0,
Dtaa/Dav0579,629,166,0,1,0.2639,0.0,345,1,0.0928,45.86,0,Medium,Excessive logins (629 total) | High off-hours activity (166 logins outside 8AM–6PM) | Excessive device connections (345 total),0,
Dtaa/Bgf0236,632,0,0,1,0.0,0.0,312,1,0.092904,45.83,0,Medium,Excessive logins (632 total) | Excessive device connections (312 total),0,
Dtaa/Ark0026,356,171,0,12,0.4803,0.0,242,1,0.093184,45.76,0,Medium,Excessive logins (356 total) | High off-hours activity (171 logins outside 8AM–6PM) | Logged into multiple PCs (12 distinct machines) | Excessive device connections (242 total),0,
Dtaa/Mjm0469,627,345,0,1,0.5502,0.0,345,1,0.094316,45.48,0,Medium,Excessive logins (627 total) | High off-hours activity (345 logins outside 8AM–6PM) | Excessive device connections (345 total),0,
Dtaa/Xkr0971,345,169,0,1,0.4899,0.0,205,1,0.095015,45.3,0,Medium,Excessive logins (345 total) | High off-hours activity (169 logins outside 8AM–6PM) | Excessive device connections (205 total),0,
Dtaa/Ltm0418,725,172,0,72,0.2372,0.0,236,1,0.095073,45.28,0,Medium,Excessive logins (725 total) | High off-hours activity (172 logins outside 8AM–6PM) | Logged into multiple PCs (72 distinct machines) | Excessive device connections (236 total),0,
Dtaa/Som0478,432,0,0,59,0.0,0.0,104,1,0.09547,45.18,0,Medium,Excessive logins (432 total) | Logged into multiple PCs (59 distinct machines) | Excessive device connections (104 total),0,
Dtaa/Scw0707,720,166,0,61,0.2306,0.0,271,1,0.095639,45.14,0,Medium,Excessive logins (720 total) | High off-hours activity (166 logins outside 8AM–6PM) | Logged into multiple PCs (61 distinct machines) | Excessive device connections (271 total),0,
Dtaa/Psp0555,744,347,0,70,0.4664,0.0,142,1,0.095866,45.08,0,Medium,Excessive logins (744 total) | High off-hours activity (347 logins outside 8AM–6PM) | Logged into multiple PCs (70 distinct machines) | Excessive device connections (142 total),0,
Dtaa/Gml0105,515,9,0,24,0.0175,0.0,9,1,0.09642,44.94,0,Medium,Excessive logins (515 total) | Logged into multiple PCs (24 distinct machines),0,
Dtaa/Daw0221,360,15,1,1,0.0417,0.0028,0,0,0.09664,44.89,0,Medium,Excessive logins (360 total),0,
Dtaa/Pxb0069,620,0,0,16,0.0,0.0,310,1,0.098014,44.54,0,Medium,Excessive logins (620 total) | Logged into multiple PCs (16 distinct machines) | Excessive device connections (310 total),0,
Dtaa/Mik0034,677,353,0,49,0.5214,0.0,276,1,0.099607,44.14,0,Medium,Excessive logins (677 total) | High off-hours activity (353 logins outside 8AM–6PM) | Logged into multiple PCs (49 distinct machines) | Excessive device connections (276 total),0,
Dtaa/Sjc0487,445,350,0,70,0.7865,0.0,0,0,0.101772,43.59,0,Medium,Excessive logins (445 total) | High off-hours activity (350 logins outside 8AM–6PM) | Logged into multiple PCs (70 distinct machines),0,
Dtaa/Hag0649,717,186,0,51,0.2594,0.0,6,1,0.102108,43.51,0,Medium,Excessive logins (717 total) | High off-hours activity (186 logins outside 8AM–6PM) | Logged into multiple PCs (51 distinct machines),0,
Dtaa/Bfo0974,110,110,0,1,1.0,0.0,0,0,0.10283,43.32,0,Medium,Excessive logins (110 total) | High off-hours activity (110 logins outside 8AM–6PM),0,
Dtaa/Afg0122,458,346,0,74,0.7555,0.0,0,0,0.102904,43.31,0,Medium,Excessive logins (458 total) | High off-hours activity (346 logins outside 8AM–6PM) | Logged into multiple PCs (74 distinct machines),0,
Dtaa/Asv0049,659,0,0,42,0.0,0.0,37,1,0.103492,43.16,0,Medium,Excessive logins (659 total) | Logged into multiple PCs (42 distinct machines) | Excessive device connections (37 total),0,
Dtaa/Bpc0533,686,5,0,55,0.0073,0.0,175,1,0.103617,43.13,0,Medium,Excessive logins (686 total) | Logged into multiple PCs (55 distinct machines) | Excessive device connections (175 total),0,
Dtaa/Ojh0425,681,347,0,57,0.5095,0.0,274,1,0.10395,43.04,0,Medium,Excessive logins (681 total) | High off-hours activity (347 logins outside 8AM–6PM) | Logged into multiple PCs (57 distinct machines) | Excessive device connections (274 total),0,
Dtaa/Lrh0747,737,196,0,64,0.2659,0.0,169,1,0.104041,43.02,0,Medium,Excessive logins (737 total) | High off-hours activity (196 logins outside 8AM–6PM) | Logged into multiple PCs (64 distinct machines) | Excessive device connections (169 total),0,
Dtaa/Lmj0323,107,107,0,1,1.0,0.0,0,0,0.104559,42.89,0,Medium,Excessive logins (107 total) | High off-hours activity (107 logins outside 8AM–6PM),0,
Dtaa/Lpg0099,691,0,0,51,0.0,0.0,247,1,0.104755,42.84,0,Medium,Excessive logins (691 total) | Logged into multiple PCs (51 distinct machines) | Excessive device connections (247 total),0,
Dtaa/Wot0549,723,385,0,47,0.5325,0.0,181,1,0.104961,42.79,0,Medium,Excessive logins (723 total) | High off-hours activity (385 logins outside 8AM–6PM) | Logged into multiple PCs (47 distinct machines) | Excessive device connections (181 total),0,
Dtaa/Dbb0235,648,0,0,38,0.0,0.0,247,1,0.106004,42.52,0,Medium,Excessive logins (648 total) | Logged into multiple PCs (38 distinct machines) | Excessive device connections (247 total),0,
Dtaa/Tlb0017,412,0,0,49,0.0,0.0,167,1,0.106459,42.41,0,Medium,Excessive logins (412 total) | Logged into multiple PCs (49 distinct machines) | Excessive device connections (167 total),0,
Dtaa/Fua0154,677,0,0,40,0.0,0.0,69,1,0.107356,42.18,0,Medium,Excessive logins (677 total) | Logged into multiple PCs (40 distinct machines) | Excessive device connections (69 total),0,
Dtaa/Mjm0228,352,7,0,1,0.0199,0.0,138,1,0.107489,42.15,0,Medium,Excessive logins (352 total) | Excessive device connections (138 total),0,
Dtaa/Hsr0472,629,0,0,1,0.0,0.0,276,1,0.107617,42.11,0,Medium,Excessive logins (629 total) | Excessive device connections (276 total),0,
Dtaa/Kin0073,458,351,0,69,0.7664,0.0,0,0,0.107934,42.03,0,Medium,Excessive logins (458 total) | High off-hours activity (351 logins outside 8AM–6PM) | Logged into multiple PCs (69 distinct machines),0,
Dtaa/Ecm0214,713,180,0,64,0.2525,0.0,75,1,0.108017,42.01,0,Medium,Excessive logins (713 total) | High off-hours activity (180 logins outside 8AM–6PM) | Logged into multiple PCs (64 distinct machines) | Excessive device connections (75 total),0,
Dtaa/Chm0645,413,180,0,49,0.4358,0.0,134,1,0.108055,42.0,0,Medium,Excessive logins (413 total) | High off-hours activity (180 logins outside 8AM–6PM) | Logged into multiple PCs (49 distinct machines) | Excessive device connections (134 total),0,
Dtaa/Pip0746,651,2,0,21,0.0031,0.0,274,1,0.108683,41.84,0,Medium,Excessive logins (651 total) | Logged into multiple PCs (21 distinct machines) | Excessive device connections (274 total),0,
Dtaa/Vfp0669,735,348,0,67,0.4735,0.0,198,1,0.10892,41.78,0,Medium,Excessive logins (735 total) | High off-hours activity (348 logins outside 8AM–6PM) | Logged into multiple PCs (67 distinct machines) | Excessive device connections (198 total),0,
Dtaa/Odw0839,365,5,0,19,0.0137,0.0,134,1,0.109626,41.61,0,Medium,Excessive logins (365 total) | Logged into multiple PCs (19 distinct machines) | Excessive device connections (134 total),0,
Dtaa/Jad0531,380,169,0,30,0.4447,0.0,38,1,0.110167,41.47,0,Medium,Excessive logins (380 total) | High off-hours activity (169 logins outside 8AM–6PM) | Logged into multiple PCs (30 distinct machines) | Excessive device connections (38 total),0,
Dtaa/Lck0666,681,171,0,49,0.2511,0.0,272,1,0.110242,41.45,0,Medium,Excessive logins (681 total) | High off-hours activity (171 logins outside 8AM–6PM) | Logged into multiple PCs (49 distinct machines) | Excessive device connections (272 total),0,
Dtaa/Dbf0903,740,347,0,63,0.4689,0.0,172,1,0.110384,41.41,0,Medium,Excessive logins (740 total) | High off-hours activity (347 logins outside 8AM–6PM) | Logged into multiple PCs (63 distinct machines) | Excessive device connections (172 total),0,
Dtaa/Hkm0260,665,2,0,39,0.003,0.0,133,1,0.110763,41.32,0,Medium,Excessive logins (665 total) | Logged into multiple PCs (39 distinct machines) | Excessive device connections (133 total),0,
Dtaa/Irh0176,88,1,0,11,0.0114,0.0,0,0,0.110823,41.3,0,Medium,Excessive logins (88 total) | Logged into multiple PCs (11 distinct machines),0,
Dtaa/Mmh0612,621,0,0,17,0.0,0.0,275,1,0.110898,41.28,0,Medium,Excessive logins (621 total) | Logged into multiple PCs (17 distinct machines) | Excessive device connections (275 total),0,
Dtaa/Gkj0573,345,182,0,1,0.5275,0.0,102,1,0.111272,41.19,0,Medium,Excessive logins (345 total) | High off-hours activity (182 logins outside 8AM–6PM) | Excessive device connections (102 total),0,
Dtaa/Ksw0597,345,172,0,1,0.4986,0.0,65,1,0.111576,41.11,0,Medium,Excessive logins (345 total) | High off-hours activity (172 logins outside 8AM–6PM) | Excessive device connections (65 total),0,
Dtaa/Dlm0723,461,350,0,68,0.7592,0.0,0,0,0.111578,41.11,0,Medium,Excessive logins (461 total) | High off-hours activity (350 logins outside 8AM–6PM) | Logged into multiple PCs (68 distinct machines),0,
Dtaa/Jlc0744,394,179,0,37,0.4543,0.0,134,1,0.111724,41.08,0,Medium,Excessive logins (394 total) | High off-hours activity (179 logins outside 8AM–6PM) | Logged into multiple PCs (37 distinct machines) | Excessive device connections (134 total),0,
Dtaa/Jcs0873,675,388,0,1,0.5748,0.0,143,1,0.111701,41.08,0,Medium,Excessive logins (675 total) | High off-hours activity (388 logins outside 8AM–6PM) | Excessive device connections (143 total),0,
Dtaa/Ctr0537,477,264,0,1,0.5535,0.0,4,1,0.112175,40.96,0,Medium,Excessive logins (477 total) | High off-hours activity (264 logins outside 8AM–6PM),0,
Dtaa/Jam0392,639,346,0,16,0.5415,0.0,281,1,0.112505,40.88,0,Medium,Excessive logins (639 total) | High off-hours activity (346 logins outside 8AM–6PM) | Logged into multiple PCs (16 distinct machines) | Excessive device connections (281 total),0,
Dtaa/Edh0146,717,170,0,64,0.2371,0.0,206,1,0.112602,40.85,0,Medium,Excessive logins (717 total) | High off-hours activity (170 logins outside 8AM–6PM) | Logged into multiple PCs (64 distinct machines) | Excessive device connections (206 total),0,
Dtaa/Yjj0129,431,354,0,59,0.8213,0.0,0,0,0.112733,40.82,0,Medium,Excessive logins (431 total) | High off-hours activity (354 logins outside 8AM–6PM) | Logged into multiple PCs (59 distinct machines),0,
Dtaa/Ycv0635,345,179,0,1,0.5188,0.0,107,1,0.112846,40.79,0,Medium,Excessive logins (345 total) | High off-hours activity (179 logins outside 8AM–6PM) | Excessive device connections (107 total),0,
Dtaa/Hdb0655,208,166,0,35,0.7981,0.0,0,0,0.112968,40.76,0,Medium,Excessive logins (208 total) | High off-hours activity (166 logins outside 8AM–6PM) | Logged into multiple PCs (35 distinct machines),0,
Dtaa/Rcw0436,345,176,0,1,0.5101,0.0,101,1,0.113023,40.75,0,Medium,Excessive logins (345 total) | High off-hours activity (176 logins outside 8AM–6PM) | Excessive device connections (101 total),0,
Dtaa/Jha0404,740,364,0,72,0.4919,0.0,0,0,0.113792,40.55,0,Medium,Excessive logins (740 total) | High off-hours activity (364 logins outside 8AM–6PM) | Logged into multiple PCs (72 distinct machines),0,
Dtaa/Ksb0673,623,346,0,17,0.5554,0.0,274,1,0.114051,40.49,0,Medium,Excessive logins (623 total) | High off-hours activity (346 logins outside 8AM–6PM) | Logged into multiple PCs (17 distinct machines) | Excessive device connections (274 total),0,
Dtaa/Afr0646,345,0,0,1,0.0,0.0,242,1,0.114251,40.44,0,Medium,Excessive logins (345 total) | Excessive device connections (242 total),0,
Dtaa/Hbl0517,626,171,0,14,0.2732,0.0,280,1,0.114341,40.41,0,Medium,Excessive logins (626 total) | High off-hours activity (171 logins outside 8AM–6PM) | Logged into multiple PCs (14 distinct machines) | Excessive device connections (280 total),0,
Dtaa/Jzo0727,658,161,0,39,0.2447,0.0,246,1,0.1144,40.4,0,Medium,Excessive logins (658 total) | High off-hours activity (161 logins outside 8AM–6PM) | Logged into multiple PCs (39 distinct machines) | Excessive device connections (246 total),0,
Dtaa/Skw0871,627,345,0,1,0.5502,0.0,278,1,0.114624,40.34,0,Medium,Excessive logins (627 total) | High off-hours activity (345 logins outside 8AM–6PM) | Excessive device connections (278 total),0,
Dtaa/Mab0532,397,169,0,39,0.4257,0.0,71,1,0.115369,40.16,0,Medium,Excessive logins (397 total) | High off-hours activity (169 logins outside 8AM–6PM) | Logged into multiple PCs (39 distinct machines) | Excessive device connections (71 total),0,
Dtaa/Krc0021,746,362,0,68,0.4853,0.0,0,0,0.115407,40.15,0,Medium,Excessive logins (746 total) | High off-hours activity (362 logins outside 8AM–6PM) | Logged into multiple PCs (68 distinct machines),0,
Dtaa/Jse0020,701,170,0,57,0.2425,0.0,3,1,0.115598,40.1,0,Medium,Excessive logins (701 total) | High off-hours activity (170 logins outside 8AM–6PM) | Logged into multiple PCs (57 distinct machines),0,
Dtaa/Arc0677,698,12,0,61,0.0172,0.0,0,0,0.116079,39.98,0,Low,Excessive logins (698 total) | Logged into multiple PCs (61 distinct machines),0,
Dtaa/Mcm0346,694,345,0,52,0.4971,0.0,246,1,0.116208,39.94,0,Low,Excessive logins (694 total) | High off-hours activity (345 logins outside 8AM–6PM) | Logged into multiple PCs (52 distinct machines) | Excessive device connections (246 total),0,
Dtaa/Arr0977,706,174,0,61,0.2465,0.0,136,1,0.116348,39.91,0,Low,Excessive logins (706 total) | High off-hours activity (174 logins outside 8AM–6PM) | Logged into multiple PCs (61 distinct machines) | Excessive device connections (136 total),0,
Dtaa/Azc0030,372,161,0,26,0.4328,0.0,138,1,0.116339,39.91,0,Low,Excessive logins (372 total) | High off-hours activity (161 logins outside 8AM–6PM) | Logged into multiple PCs (26 distinct machines) | Excessive device connections (138 total),0,
Dtaa/Ajn0804,742,348,0,71,0.469,0.0,0,0,0.116722,39.81,0,Low,Excessive logins (742 total) | High off-hours activity (348 logins outside 8AM–6PM) | Logged into multiple PCs (71 distinct machines),0,
Dtaa/Jjr0278,706,353,0,58,0.5,0.0,210,1,0.116961,39.75,0,Low,Excessive logins (706 total) | High off-hours activity (353 logins outside 8AM–6PM) | Logged into multiple PCs (58 distinct machines) | Excessive device connections (210 total),0,
Dtaa/Afh0331,639,158,0,13,0.2473,0.0,274,1,0.118847,39.28,0,Low,Excessive logins (639 total) | High off-hours activity (158 logins outside 8AM–6PM) | Logged into multiple PCs (13 distinct machines) | Excessive device connections (274 total),0,
Dtaa/Hsd0519,673,0,0,51,0.0,0.0,137,1,0.119074,39.22,0,Low,Excessive logins (673 total) | Logged into multiple PCs (51 distinct machines) | Excessive device connections (137 total),0,
Dtaa/Tao0639,369,1,0,24,0.0027,0.0,134,1,0.119548,39.1,0,Low,Excessive logins (369 total) | Logged into multiple PCs (24 distinct machines) | Excessive device connections (134 total),0,
Dtaa/Kdl0806,748,164,0,73,0.2193,0.0,0,0,0.119549,39.1,0,Low,Excessive logins (748 total) | High off-hours activity (164 logins outside 8AM–6PM) | Logged into multiple PCs (73 distinct machines),0,
Dtaa/Vcg0663,714,351,0,60,0.4916,0.0,177,1,0.119989,38.99,0,Low,Excessive logins (714 total) | High off-hours activity (351 logins outside 8AM–6PM) | Logged into multiple PCs (60 distinct machines) | Excessive device connections (177 total),0,
Dtaa/Rhp0688,590,0,0,1,0.0,0.0,236,1,0.120084,38.96,0,Low,Excessive logins (590 total) | Excessive device connections (236 total),0,
Dtaa/Fhm0931,360,0,0,15,0.0,0.0,36,1,0.12071,38.81,0,Low,Excessive logins (360 total) | Logged into multiple PCs (15 distinct machines) | Excessive device connections (36 total),0,
Dtaa/Cac0854,638,169,0,12,0.2649,0.0,272,1,0.120739,38.8,0,Low,Excessive logins (638 total) | High off-hours activity (169 logins outside 8AM–6PM) | Logged into multiple PCs (12 distinct machines) | Excessive device connections (272 total),0,
Dtaa/Wmj0364,626,185,0,1,0.2955,0.0,207,1,0.121745,38.54,0,Low,Excessive logins (626 total) | High off-hours activity (185 logins outside 8AM–6PM) | Excessive device connections (207 total),0,
Dtaa/Tnb0740,371,0,0,25,0.0,0.0,204,1,0.121904,38.5,0,Low,Excessive logins (371 total) | Logged into multiple PCs (25 distinct machines) | Excessive device connections (204 total),0,
Dtaa/Jnf0543,678,351,0,41,0.5177,0.0,213,1,0.12295,38.24,0,Low,Excessive logins (678 total) | High off-hours activity (351 logins outside 8AM–6PM) | Logged into multiple PCs (41 distinct machines) | Excessive device connections (213 total),0,
Dtaa/Dfw0798,609,0,0,1,0.0,0.0,239,1,0.123633,38.07,0,Low,Excessive logins (609 total) | Excessive device connections (239 total),0,
Dtaa/Nsc0842,675,182,0,47,0.2696,0.0,100,1,0.123782,38.03,0,Low,Excessive logins (675 total) | High off-hours activity (182 logins outside 8AM–6PM) | Logged into multiple PCs (47 distinct machines) | Excessive device connections (100 total),0,
Dtaa/Jhn0241,43,24,0,1,0.5581,0.0,0,0,0.12406,37.96,0,Low,High off-hours activity (24 logins outside 8AM–6PM),0,
Dtaa/Mxm0271,745,175,0,74,0.2349,0.0,0,0,0.124167,37.93,0,Low,Excessive logins (745 total) | High off-hours activity (175 logins outside 8AM–6PM) | Logged into multiple PCs (74 distinct machines),0,
Dtaa/Sef0446,485,270,0,15,0.5567,0.0,132,1,0.124261,37.91,0,Low,Excessive logins (485 total) | High off-hours activity (270 logins outside 8AM–6PM) | Logged into multiple PCs (15 distinct machines) | Excessive device connections (132 total),0,
Dtaa/Lid0942,670,183,0,45,0.2731,0.0,136,1,0.12437,37.88,0,Low,Excessive logins (670 total) | High off-hours activity (183 logins outside 8AM–6PM) | Logged into multiple PCs (45 distinct machines) | Excessive device connections (136 total),0,
Dtaa/Olr0984,146,146,0,1,1.0,0.0,0,0,0.124555,37.83,0,Low,Excessive logins (146 total) | High off-hours activity (146 logins outside 8AM–6PM),0,
Dtaa/Bcj0800,371,0,0,24,0.0,0.0,178,1,0.124684,37.8,0,Low,Excessive logins (371 total) | Logged into multiple PCs (24 distinct machines) | Excessive device connections (178 total),0,
Dtaa/Jcc0140,745,3,0,62,0.004,0.0,0,0,0.124716,37.79,0,Low,Excessive logins (745 total) | Logged into multiple PCs (62 distinct machines),0,
Dtaa/Spk0818,641,173,0,16,0.2699,0.0,274,1,0.124774,37.78,0,Low,Excessive logins (641 total) | High off-hours activity (173 logins outside 8AM–6PM) | Logged into multiple PCs (16 distinct machines) | Excessive device connections (274 total),0,
Dtaa/Dao0613,409,338,0,59,0.8264,0.0,0,0,0.125618,37.56,0,Low,Excessive logins (409 total) | High off-hours activity (338 logins outside 8AM–6PM) | Logged into multiple PCs (59 distinct machines),0,
Dtaa/Esb0080,615,155,0,6,0.252,0.0,212,1,0.126118,37.44,0,Low,Excessive logins (615 total) | High off-hours activity (155 logins outside 8AM–6PM) | Logged into multiple PCs (6 distinct machines) | Excessive device connections (212 total),0,
Dtaa/Kls0717,684,347,0,52,0.5073,0.0,71,1,0.126166,37.43,0,Low,Excessive logins (684 total) | High off-hours activity (347 logins outside 8AM–6PM) | Logged into multiple PCs (52 distinct machines) | Excessive device connections (71 total),0,
Dtaa/Cyk0330,677,174,0,49,0.257,0.0,105,1,0.126154,37.43,0,Low,Excessive logins (677 total) | High off-hours activity (174 logins outside 8AM–6PM) | Logged into multiple PCs (49 distinct machines) | Excessive device connections (105 total),0,
Dtaa/Kjg0378,460,347,0,66,0.7543,0.0,0,0,0.126159,37.43,0,Low,Excessive logins (460 total) | High off-hours activity (347 logins outside 8AM–6PM) | Logged into multiple PCs (66 distinct machines),0,
Dtaa/Hdr0261,623,181,0,1,0.2905,0.0,210,1,0.126218,37.41,0,Low,Excessive logins (623 total) | High off-hours activity (181 logins outside 8AM–6PM) | Excessive device connections (210 total),0,
Dtaa/Ama0606,400,351,0,41,0.8775,0.0,0,0,0.126307,37.39,0,Low,Excessive logins (400 total) | High off-hours activity (351 logins outside 8AM–6PM) | Logged into multiple PCs (41 distinct machines),0,
Dtaa/Vkb0605,345,0,0,1,0.0,0.0,72,1,0.126402,37.37,0,Low,Excessive logins (345 total) | Excessive device connections (72 total),0,
Dtaa/Mnd0048,62,34,0,1,0.5484,0.0,0,0,0.126533,37.33,0,Low,High off-hours activity (34 logins outside 8AM–6PM),0,
Dtaa/Cpp0761,351,0,0,7,0.0,0.0,173,1,0.12669,37.29,0,Low,Excessive logins (351 total) | Logged into multiple PCs (7 distinct machines) | Excessive device connections (173 total),0,
Dtaa/Bjc0569,612,345,0,1,0.5637,0.0,238,1,0.126981,37.22,0,Low,Excessive logins (612 total) | High off-hours activity (345 logins outside 8AM–6PM) | Excessive device connections (238 total),0,
Dtaa/Pjs0809,457,2,0,63,0.0044,0.0,0,0,0.127533,37.08,0,Low,Excessive logins (457 total) | Logged into multiple PCs (63 distinct machines),0,
Dtaa/Bbm0499,463,348,0,63,0.7516,0.0,0,0,0.12772,37.03,0,Low,Excessive logins (463 total) | High off-hours activity (348 logins outside 8AM–6PM) | Logged into multiple PCs (63 distinct machines),0,
Dtaa/Kag0880,723,352,0,69,0.4869,0.0,0,0,0.127779,37.02,0,Low,Excessive logins (723 total) | High off-hours activity (352 logins outside 8AM–6PM) | Logged into multiple PCs (69 distinct machines),0,
Dtaa/Asc0132,399,346,0,44,0.8672,0.0,0,0,0.127896,36.99,0,Low,Excessive logins (399 total) | High off-hours activity (346 logins outside 8AM–6PM) | Logged into multiple PCs (44 distinct machines),0,
Dtaa/Rxe0207,644,161,0,27,0.25,0.0,63,1,0.128047,36.95,0,Low,Excessive logins (644 total) | High off-hours activity (161 logins outside 8AM–6PM) | Logged into multiple PCs (27 distinct machines) | Excessive device connections (63 total),0,
